year,arrivals_total,arrivals_air,arrivals_sea,air_share_pct,sea_share_pct,accom_persons,bednights,avg_stay_days,occupancy_pct,cpi_trnc,cpi_rh_trnc,cpi_trnc_yoy,cpi_turkey_yoy,eur_try,usd_try,fx_source,covid,period,fx_conf,arrivals_yoy,bednights_yoy,log_arrivals,log_bednights,log_eur_try,log_cpi_trnc,log_cpi_rh
2015,1773965,1693694,80271,95.5,4.5,876041,3167166,3.6,48.8,NA,NA,NA,7.67,3.0213,2.7203,WB,0,Pre-COVID,World Bank (approx),NA,NA,14.388727712232006,14.968347739682338,1.1056872023400717,NA,NA
2016,1862558,1785746,76812,95.9,4.1,924122,3416846,3.7,48.6,NA,NA,NA,7.78,3.3372,3.0208,WB,0,Pre-COVID,World Bank (approx),4.994066962989696,7.8833884930565645,14.43746136969058,15.044228461308023,1.2051321320457824,NA,NA
2017,2045014,1945371,99643,95.1,4.9,1114973,4223862,3.8,58.5,122.81,136.47,NA,11.14,4.1204,3.6464,WB,0,Pre-COVID,World Bank (approx),9.795990245672881,23.618740791946724,14.530915193401375,15.256260433379998,1.4159502460274014,4.810638445622293,4.916104810250022
2018,2079961,1968345,111616,94.6,5.4,1143206,4291944,3.8,51.3,151.23,163.4,23.15,16.33,5.7069,4.8294,WB,0,Pre-COVID,World Bank (approx),1.7088880565120812,1.6118424323521952,14.547859701501718,15.272250335117317,1.7416759690600683,5.018801856762649,5.096201182425903
2019,2068992,1973844,95148,95.4,4.6,1149714,4456543,3.9,50.4,180.68,192.13,19.47,15.17,6.3565,5.6742,WB,0,Pre-COVID,World Bank (approx),-0.5273656573368424,3.835068677503717,14.542572090117982,15.309883911333914,1.84947791140804,5.1967275107864035,5.25817222624361
2020,467647,426545,41102,91.2,8.8,265325,786609,3,17,201.89,209.58,11.74,12.28,8.0285,7.0181,EVDS,1,COVID,EVDS (exact),-77.39735098057412,-82.3493456699509,13.055469016788127,13.575486580561988,2.0829977110076023,5.307722994622132,5.345105528046796
2021,638151,575044,63107,90.1,9.9,401516,1296205,3.2,26.8,245.14,255.24,21.42,19.6,10.4348,8.8476,EVDS,1,COVID,EVDS (exact),36.45997942892822,64.78390153176483,13.366330211439305,14.074951322397721,2.3451463740781193,5.501829475913019,5.5422042790001464
2022,1634560,1461733,172827,89.4,10.6,1030458,3747029,3.6,42.7,489.52,571.28,99.69,72.31,17.3864,16.566,EVDS,0,Recovery,EVDS (exact),156.1400044816979,189.07688212898424,14.306884212946201,15.136473817270828,2.8556882914093555,6.193425319154285,6.347879457240855
2023,2122273,1943554,178719,91.6,8.4,1241993,4133839,3.3,44.4,863.7,1156.85,76.44,53.86,25.6722,23.736,EVDS,0,Recovery,EVDS (exact),29.837570967110416,10.323111990859957,14.567998242095971,15.234717073134064,3.2454086943661777,6.76122548628624,7.053456073153691
2024,2556605,2369796,186809,92.7,7.3,1365511,4284667,3.1,43.6,1502.52,2107.67,73.96,58.51,35.5376,32.8392,EVDS,0,Recovery,EVDS (exact),20.465416089259026,3.6486181488925906,14.75419076443659,15.27055339404205,3.570591290902107,7.314898977468856,7.653338350917009
